symbol,BNB,BTC,DASH,ETH,LTC
,close,close,close,close,close
timestamp,,,,,
2018-11-15 00:00:00.000,8.525935600899237,5788.612494046974,146.8613710135769,184.02255937246562,44.16088392534081
2018-11-16 00:00:00.000,8.247169297420811,5686.541131058274,139.868199962572,182.448242594831,44.35749399825322
2018-11-17 00:00:00.000,7.9327651162323125,5609.956182334204,139.35963811672752,176.02240566453227,42.56261053238815
2018-11-18 00:00:00.000,7.806824872425379,5599.1915956893035,134.55810709548317,175.6674163561008,42.20476584865937
2018-11-19 00:00:00.000,8.024143391711144,5638.861481452398,133.25938737824416,177.72868960741215,42.37473600550325
2018-11-20 00:00:00.000,6.6986096550996015,4889.197859239111,111.73471138927883,150.39116276572497,36.96719189210485
2018-11-21 00:00:00.000,5.8326370989089344,4450.711454417822,105.51465004348428,131.476679735108,33.18095466479301
2018-11-22 00:00:00.000,6.229546966065289,4613.44841218385,114.82191529669373,137.1730431934016,34.84013071990444
2018-11-23 00:00:00.000,5.724389954826927,4307.388731717267,103.00971571280719,126.06638760845392,31.98518067862128
2018-11-24 00:00:00.000,5.622806578229521,4376.904946801552,100.82090073259796,124.15029635415753,32.46366568169593
2018-11-25 00:00:00.000,5.161088574350976,3895.8368129589876,94.27224811683116,114.28793125942474,29.473298484443344
2018-11-26 00:00:00.000,5.211159772890472,4039.836551137432,92.28572154320348,117.52527750634898,31.30971062951655
2018-11-27 00:00:00.000,4.939163015502589,3811.9235292664935,90.60872330484781,109.43098854688948,29.898704360063864
2018-11-28 00:00:00.000,4.94265918803859,3832.92451590069,90.39191593220116,110.43494358866081,31.361452843819063
2018-11-29 00:00:00.000,5.325494508709146,4267.243628990657,99.63502677084365,122.44642499081692,34.70173011641105
2018-11-30 00:00:00.000,5.3450660552405,4279.475592548712,97.50641421632463,117.70538590366436,33.836247002526875
2018-12-01 00:00:00.000,5.074957927073463,4009.6895798259993,92.81120761812194,113.4028831522645,32.01189401589973
2018-12-02 00:00:00.000,5.264996325901464,4189.573822999859,95.11794327562355,118.10075903673732,34.20941109446745
2018-12-03 00:00:00.000,5.2253850099835235,4124.593548643215,92.86667576115669,115.94428273243844,33.55967966323352
2018-12-04 00:00:00.000,5.06971293446987,3878.8392347832714,85.53580234858207,108.67684762425776,30.945797182385565
2018-12-05 00:00:00.000,5.870951978177137,3943.6928120656007,85.46865098757145,109.85191500097886,31.040761380493855
2018-12-06 00:00:00.000,6.0557129165722134,3751.691966395661,78.55232243331805,102.51104175852288,29.16000879608354
2018-12-07 00:00:00.000,4.93221977895788,3466.763863771732,65.47337078395975,91.10115845588969,26.555391302743967
